City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Broome,US,2020-06-19 23:23:58,42.25,-75.83,77.0,73,90,5.32
1,Saint Paul Harbor,US,2020-06-19 23:23:31,57.79,-152.41,53.6,71,1,14.99
2,Rikitea,PF,2020-06-19 23:25:15,-23.12,-134.97,74.61,82,100,20.94
3,Qaanaaq,GL,2020-06-19 23:25:15,77.48,-69.36,36.54,79,91,1.01
4,Quatre Cocos,MU,2020-06-19 23:25:15,-20.21,57.76,71.6,68,20,16.11
5,Oga,IT,2020-06-19 23:25:15,46.46,10.35,46.4,100,40,2.24
6,Mahébourg,MU,2020-06-19 23:25:15,-20.41,57.7,71.6,68,20,16.11
7,Ranau,MY,2020-06-19 23:25:15,5.95,116.66,80.01,94,20,4.7
8,Cabo San Lucas,MX,2020-06-19 23:25:06,22.89,-109.91,91.4,27,5,8.05
9,Havøysund,NO,2020-06-19 23:23:51,71.0,24.66,42.8,75,75,13.87
10,Hithadhoo,MV,2020-06-19 23:25:15,-0.6,73.08,83.28,72,100,8.57
11,Yangambi,CD,2020-06-19 23:25:16,0.81,24.43,69.6,71,20,0.69
12,Morehead,US,2020-06-19 23:25:16,37.27,-87.18,87.8,42,1,3.36
13,Klaksvík,FO,2020-06-19 23:25:16,62.23,-6.59,50.0,93,83,18.34
14,Talnakh,RU,2020-06-19 23:23:58,69.49,88.4,42.8,100,75,11.18
15,Acaraú,BR,2020-06-19 23:25:16,-2.89,-40.12,77.92,85,49,12.46
16,Vaini,TO,2020-06-19 23:23:37,-21.2,-175.2,77.0,73,75,17.22
17,Upernavik,GL,2020-06-19 23:25:16,72.79,-56.15,38.93,74,14,7.34
18,Cidreira,BR,2020-06-19 23:23:24,-30.18,-50.21,64.96,92,90,13.04
19,Ushuaia,AR,2020-06-19 23:21:18,-54.8,-68.3,35.6,93,40,5.82
20,Lüderitz,NA,2020-06-19 23:25:17,-26.65,15.16,60.8,38,0,3.36
21,Narsaq,GL,2020-06-19 23:25:17,60.92,-46.05,44.6,70,75,11.41
22,Bonavista,CA,2020-06-19 23:23:19,48.65,-53.11,44.1,93,89,9.69
23,Port Alfred,ZA,2020-06-19 23:23:40,-33.59,26.89,64.0,43,0,8.99
24,Butaritari,KI,2020-06-19 23:23:30,3.07,172.79,82.92,72,91,11.32
25,Berlevåg,NO,2020-06-19 23:25:17,70.86,29.09,42.39,79,98,18.57
26,Saint-Philippe,RE,2020-06-19 23:25:17,-21.36,55.77,69.8,73,75,20.8
27,Hobart,AU,2020-06-19 23:21:57,-42.88,147.33,46.99,93,20,5.82
28,Albany,US,2020-06-19 23:25:17,42.6,-73.97,84.0,57,71,5.99
29,Sampit,ID,2020-06-19 23:25:18,-2.53,112.95,73.56,98,85,1.97
30,Santa Helena,BR,2020-06-19 23:25:18,-2.23,-45.3,73.58,97,34,2.21
31,Ambatondrazaka,MG,2020-06-19 23:25:18,-17.83,48.42,58.96,86,100,6.71
32,Kapoeta,SS,2020-06-19 23:25:18,4.77,33.59,74.91,72,22,4.99
33,Imbituba,BR,2020-06-19 23:24:14,-28.24,-48.67,64.4,93,25,2.24
34,Lakes Entrance,AU,2020-06-19 23:25:18,-37.88,147.98,52.0,85,23,9.37
35,Barrow,US,2020-06-19 23:25:18,71.29,-156.79,37.4,86,75,8.05
36,Plouzané,FR,2020-06-19 23:25:18,48.38,-4.62,57.2,93,90,10.29
37,Bredasdorp,ZA,2020-06-19 23:25:18,-34.53,20.04,55.4,87,0,6.76
38,Mlonggo,ID,2020-06-19 23:25:19,-6.53,110.7,77.0,78,20,3.36
39,Chui,UY,2020-06-19 23:25:19,-33.7,-53.46,55.92,93,97,7.78
40,Bainbridge Island,US,2020-06-19 23:25:19,47.63,-122.52,82.0,34,90,4.7
41,Marawi,PH,2020-06-19 23:25:19,8.0,124.29,75.99,86,80,5.01
